COADD_OBJECT_ID,RA,DEC,SOF_CM_G_1,SOF_CM_G_2,Z,VEL_DISP,ID
142056083,1.19644800,0.58566300,0.14971540,-0.11218070,0.54753685,219.29253000,142056083
84672365,337.70109600,1.07177400,-0.07165420,-0.12224763,0.52411410,225.75404000,84672365
94808837,339.57228800,0.46033400,0.48091113,0.06863482,0.39130452,201.70633000,94808837
294638336,16.86607900,-2.33534300,-0.12994940,-0.01644139,0.25481233,277.49933000,294638336
196840732,321.39055300,-1.96899700,0.37160355,0.04997453,0.46829075,210.65233000,196840732
100014952,342.37208400,-1.04332700,0.06720396,-0.15742851,0.33613327,246.02730000,100014952
94873273,339.33668300,-0.03155600,-0.01143210,-0.03645077,0.63308540,301.04825000,94873273
285320420,14.95969100,-1.20372100,-0.07204967,-0.08564868,0.45816657,234.39915000,285320420
98203837,341.86630000,-1.70367800,0.08236976,-0.12065855,0.33439958,208.03420000,98203837
99976243,342.40052800,-0.43367600,0.10310344,0.05113508,0.49755234,323.35223000,99976243
182301797,3.27583900,-1.84818100,0.12951692,0.02888485,0.35014284,214.45398000,182301797
261409968,28.44983100,-3.08082600,-0.02542378,-0.09152119,0.47438660,274.81030000,261409968
81077027,335.55881700,-0.72649700,0.05261676,-0.00266535,0.40704048,259.69733000,81077027
91945451,33.38597300,-7.20807700,0.05629731,0.09271180,0.31913430,247.27946000,91945451
111784294,36.00479800,-6.44749800,0.16819883,-0.03124736,0.51463410,309.91348000,111784294
277197333,11.77403200,0.32310300,0.09531453,0.10534993,0.32624242,275.92720000,277197333
289295301,15.91247700,-0.92918600,-0.04428837,-0.01381230,0.26279432,202.08780000,289295301
118693905,36.64327300,-3.24749000,-0.17311945,-0.09129339,0.48036584,269.68478000,118693905
79081853,334.67281500,-0.75352900,0.02608377,0.05662532,0.30827110,244.35057000,79081853
188531806,317.88176200,-1.98074200,-0.04959349,0.06071034,0.51931720,214.47981000,188531806
210918841,326.41374900,1.22780800,-0.22888453,0.32740323,0.22640170,184.05319000,210918841
215013112,326.78559200,1.19891000,-0.19231199,0.03774486,0.34338740,245.26800000,215013112
212168783,325.78843300,-0.65782600,-0.08558791,0.06940511,0.61464345,267.92584000,212168783
305838282,38.40340800,-5.49769100,-0.35829140,0.06498120,0.55004620,280.74120000,305838282
118307731,36.99054900,4.27429800,-0.07366273,-0.15823069,0.21021214,278.30215000,118307731
113697527,35.80963700,3.41149100,-0.06769142,-0.00358167,0.25968978,183.27696000,113697527
215463057,326.84660300,0.75930800,0.09309509,-0.07722036,0.28796363,208.30743000,215463057
242404934,328.70153200,-0.86592300,0.18720163,-0.02658295,0.48918733,220.36787000,242404934
195585712,319.61945600,0.86537600,0.03543443,-0.04496786,0.51495790,241.29920000,195585712
199129793,321.16582900,-1.11625200,-0.01107789,-0.05431107,0.28904550,250.22935000,199129793
201424128,322.17724400,-0.81886600,0.03084935,0.13777170,0.57642674,153.74387000,201424128
210922688,326.07464300,1.16732500,0.00678752,-0.10067774,0.37311843,223.97757000,210922688
195930842,320.87489100,-0.56959500,0.02350687,-0.00744344,0.52325260,175.13849000,195930842
107238461,344.69386200,-0.06563300,0.11845079,0.05737635,0.45561010,182.04903000,107238461
196482113,319.86441000,0.50125000,0.00396744,-0.06430324,0.27258658,442.25630000,196482113
198462005,321.47944500,0.29879200,0.11138422,-0.10441034,0.61782825,211.17992000,198462005
150744590,348.80555200,-0.36444800,-0.05552648,-0.00640210,0.47150190,290.01038000,150744590
95059993,339.84493800,1.12688100,-0.08347348,-0.08596040,0.44217992,214.60133000,95059993
135946380,354.01284400,-0.26949900,0.13276772,-0.17141921,0.56192833,235.00131000,135946380
312482670,40.12733000,0.76823100,-0.11212640,0.02087131,0.36482936,173.43750000,312482670
221596334,21.38839800,-2.23887900,0.08700908,0.08880035,0.13277161,187.07408000,221596334
124158871,349.39194300,-1.73607300,-0.00090437,0.00953600,0.11504888,223.81589000,124158871
202238171,323.04733600,0.32567200,0.11087108,-0.06897395,0.23628873,236.10101000,202238171
289283264,15.39362900,-0.67710700,-0.46544245,0.28659950,0.66705080,272.65424000,289283264
210507700,325.11324600,-0.34219800,-0.02624042,0.40328541,0.59390940,248.81100000,210507700
239508217,324.85143100,0.20905700,-0.01725616,-0.03583460,0.36633795,175.99113000,239508217
206310071,323.72172400,0.95294500,-0.31253015,-0.01121283,0.38405943,226.16430000,206310071
84073640,337.36971700,1.04275200,0.09743299,0.12317417,0.34972847,306.68808000,84073640
292515435,16.50842800,-0.79936300,-0.04522431,-0.15955459,0.50756484,266.28787000,292515435
95053932,340.08791100,1.23880400,0.12312233,0.42871510,0.49781862,263.54803000,95053932
95569558,340.23051300,-0.00258400,0.07381206,0.02650064,0.44285673,217.17924000,95569558
239345164,327.77095100,-1.19153600,0.05282851,-0.07227812,0.46688184,234.94810000,239345164
82785711,336.70752500,0.64699900,-0.08937187,0.17669107,0.74823090,236.58940000,82785711
231305824,23.43100500,0.41498300,-0.08345742,0.11386614,0.56934360,247.33615000,231305824
277287456,12.22153900,-2.32387400,-0.15661416,0.05757871,0.69187100,272.37070000,277287456
201610272,5.42627000,-2.06667000,0.05728799,-0.09829847,0.46480116,263.29898000,201610272
144763785,5.75945300,-3.39694600,-0.00112234,-0.04135338,0.42198030,225.57957000,144763785
215699829,327.07480000,-0.29472900,-0.19466383,0.11338154,0.53860580,239.28922000,215699829
316537635,40.66659900,4.04484800,-0.12829059,-0.38233759,0.65626650,226.94559000,316537635
215687218,326.98761400,-0.08141300,-0.05282561,0.01034377,0.51421220,198.24542000,215687218
